Plant-level output
Created by GroIMP
time(d)	tt(dd)	plant#	strip#	row#	pos#	species	weed	age(dd)	age(days)	nrBranches	leafArea(m2)	fpar	accumulated PAR(mol)	rfr	biom(mg)	yield(mg)	leafMass(mg)	stemMass(mg)	rootMass(mg)	shootRootRatio(mg)	aboveBiom(mg)	Nsource(mg)	Total N uptake(mg)	Root length(m)	Plant height	Nphoto(mg)	Nstem(mg)	Ngrain(mg)	Nroots(mg)
1.0	0.15170210806444473	82.0	1.0	9.0	2.0	9.0	0.0	0.15170210806444473	1.0	0.0	0.0	0.0	0.0	1.2	275.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	0.15170210806444473	83.0	1.0	9.0	3.0	9.0	0.0	0.15170210806444473	1.0	0.0	0.0	0.0	0.0	1.2	275.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	0.15170210806444473	84.0	1.0	9.0	4.0	9.0	0.0	0.15170210806444473	1.0	0.0	0.0	0.0	0.0	1.2	275.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	0.15170210806444473	85.0	1.0	9.0	5.0	9.0	0.0	0.15170210806444473	1.0	0.0	0.0	0.0	0.0	1.2	275.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	0.15170210806444473	86.0	1.0	9.0	6.0	9.0	0.0	0.15170210806444473	1.0	0.0	0.0	0.0	0.0	1.2	275.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	0.15170210806444473	87.0	1.0	9.0	7.0	9.0	0.0	0.15170210806444473	1.0	0.0	0.0	0.0	0.0	1.2	275.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	0.15170210806444473	88.0	1.0	9.0	8.0	9.0	0.0	0.15170210806444473	1.0	0.0	0.0	0.0	0.0	1.2	275.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	0.15170210806444473	89.0	1.0	9.0	9.0	9.0	0.0	0.15170210806444473	1.0	0.0	0.0	0.0	0.0	1.2	275.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	0.15170210806444473	90.0	1.0	9.0	10.0	9.0	0.0	0.15170210806444473	1.0	0.0	0.0	0.0	0.0	1.2	275.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	0.15170210806444473	91.0	1.0	10.0	1.0	9.0	0.0	0.15170210806444473	1.0	0.0	0.0	0.0	0.0	1.2	275.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	0.15170210806444473	92.0	1.0	10.0	2.0	9.0	0.0	0.15170210806444473	1.0	0.0	0.0	0.0	0.0	1.2	275.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	0.15170210806444473	93.0	1.0	10.0	3.0	9.0	0.0	0.15170210806444473	1.0	0.0	0.0	0.0	0.0	1.2	275.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	0.15170210806444473	94.0	1.0	10.0	4.0	9.0	0.0	0.15170210806444473	1.0	0.0	0.0	0.0	0.0	1.2	275.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
